dataset_name,row_count,column_count,missing_value_count,duplicate_id_count,target_rate,date_min,date_max,leakage_check_status,schema_check_status
processed_credit_applicants,94999,17,194942,0.0,0.21266,2007-01-01,2018-12-31,pass,pass
processed_payment_transactions,80000,42,0,0.0,0.00615,2023-01-01,2023-01-02,pass,pass
processed_stablecoin_transactions,2500,13,0,1735.0,0.1336,2025-12-21,2026-03-20,pass,pass
macro_stress_inputs,233,6,14,,,2007-01-01,2026-05-01,pass,pass
underwriting_model_dataset,69999,33,4341,0.0,0.21266,2007-07-01,2018-12-01,pass,pass
fraud_model_dataset,80000,53,0,0.0,0.00615,2023-01-01,2023-01-02,pass,pass
validation_dataset,21000,33,1601,0.0,0.27419,2016-04-01,2018-12-01,pass,pass
